ID	Code	OriginCode	Description	Category	IsActive	BeginTime	EndTime	DayPolicyID	WeekPolicyID	LastAcceptTimeSpan	NumeratorUnit	Denominator	IsSinglePrice	IsNormal	OriginType	OriginInactiveTime	AlertVariation	NormalWaitTime	AlertWaitTime	CurrencyID	CommissionFormula	LevyFormula	MarginFormula	PLValueDay	TradePLFormula	InterestFormula	InterestPolicyID	InterestYearDays	OrderTypeMask	MaxDQLot	MaxOtherLot	DQQuoteMinLot	AutoDQMaxLot	AutoLmtMktMaxLot	AcceptDQVariation	AcceptLmtVariation	CancelLmtVariation	MaxMinAdjust	IsBetterPrice	HitTimes	PenetrationPoint	PriceValidTime	UpdatePersonID	UpdateTime	MappingCode	ContractMonth	DailyMaxMove	ContractCurrency	BaseCurrency	DeliveryDay	MOCSession	UseSettlementPriceForInterest	PriceConvertFomulaType	PriceConvertFactor	PriceOriginCode1	PriceOriginCode2	MIT	IsAutoFill	IsPriceEnabled	IsAutoEnablePrice	ExternalExchangeCode	UnderlyingInstrument	SpotPaymentTime	NearInstrumentForSpreadTrading	DistantInstrumentForSpreadTrading	AcceptIfDoneVariation	AllowedSpotTradeOrderSides	CanPlacePendingOrderAtAnyTime	AutoDQDelay	Sequence	SummaryGroupId	SummaryUnit	HolidayAlertDayPolicyID	SummaryQuantity	AutoAcceptMaxLot	AutoCancelMaxLot	UnitId	HitPriceVariationForSTP	AcceptCloseLmtVariation	AllowedNewTradeSides	PhysicalLotDecimal	DeliveryTimeBeginDay	DeliveryTimeEndDay	UpdateAppType	DeliverySpecificationId	InstrumentIcon	EnhancedPriceDigit	ShowPriceSuperscript	OtherFeeFormula	FirstOrderTime	LimitRangeForOrder	DailyLimitPercent	PlaceSptMktTimeSpan
1DFB99D4-2B76-48B0-9109-0A67265F5B9F	EUR	EURUSD	EUR	10	1	2001-01-01 00:00:00.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	02446B97-D96B-4992-A6E2-30B76C0CD8D8	10	1	10000	0	1	2	25	1000000	12	23	0DA665B5-9AA5-49D7-A301-048F1428CA4A	0	0	0	0	0	3	AAFF850A-5818-441A-BA2D-154E4D93A362	360	239	20.0000	9.0000	20.0000	9.0000	9.0000	9	9	9	9	0	9	9	9	00000000-0000-0000-0000-000000000000	2015-12-08 11:40:37.977	EUR	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	0	1	0	1	NULL	NULL	NULL	NULL	NULL	30	3	0	9	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	9.0000	9.0000	A9BF9B04-D392-4868-80D1-28855CBEC44C	9	9	1	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	2
1214720E-01DC-4E68-A271-0AFA8B5E72E1	d AUD1	AUDUSD	d AUD1	10	1	2015-11-13 20:15:01.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	02446B97-D96B-4992-A6E2-30B76C0CD8D8	0	1	10000	0	1	1	300	20	0	10	0DA665B5-9AA5-49D7-A301-048F1428CA4A	0	0	2	0	1	1	A1F50A2D-0C28-4AFA-870C-AA8EEA5A61C5	360	251	50.0000	50.0000	20.0000	20.0000	20.0000	10	10	10	0	0	1	0	15	00000000-0000-0000-0000-000000000000	2015-12-08 11:41:13.963	d AUD1	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	1	1	0	1	NULL	NULL	NULL	NULL	NULL	10	3	0	0	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	9999.0000	9999.0000	NULL	9999	10	3	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
2E42C798-97E7-4702-AFBA-0E6ABA0575D6	JPY	USDJPY	JPY	10	1	2001-01-01 00:00:00.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	02446B97-D96B-4992-A6E2-30B76C0CD8D8	10	2	100	0	1	2	60	3	12	23	0DA665B5-9AA5-49D7-A301-048F1428CA4A	0	0	0	0	0	2	AAFF850A-5818-441A-BA2D-154E4D93A362	360	235	20.0000	9.0000	20.0000	9.0000	9.0000	9	9	9	9	0	9	9	9	00000000-0000-0000-0000-000000000000	2015-12-08 11:41:12.983	JPY	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	0	1	0	1	NULL	NULL	NULL	NULL	NULL	30	3	0	9	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	9.0000	9.0000	62448E83-F4F2-4AE9-969B-00C53E22BB3F	9	9	1	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
36EA5E9D-A12C-45F4-AC5C-0F9D8E12BDF7	d CADAUD	 CADAUD	d CADAUD	10	1	2013-09-04 16:08:36.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	EA814F74-D123-4842-8BDF-AC45857D97AF	10	1	10	0	1	2	3000	12	12	1	0DA665B5-9AA5-49D7-A301-048F1428CA4A	0	0	0	0	0	0	AAFF850A-5818-441A-BA2D-154E4D93A362	360	251	20.0000	8.0000	20.0000	8.0000	68.0000	8	181	8	8	0	8	8	9	00000000-0000-0000-0000-000000000000	2015-11-25 10:22:30.070	d CADAUD	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	1	1	0	1	NULL	NULL	NULL	NULL	NULL	10	3	0	8	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	8.0000	8.0000	NULL	8	8	3	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
0ADF8B7D-238D-4F29-8B13-14307FDA9701	P HKD	USDHKD	p HKD	20	1	2013-09-30 14:33:21.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	EA814F74-D123-4842-8BDF-AC45857D97AF	10	2	100	0	1	2	60	3	12	23	ADF04C39-3837-4858-8849-8C4ADC53D250	0	0	0	0	0	0	AAFF850A-5818-441A-BA2D-154E4D93A362	360	251	20.0000	9.0000	20.0000	9.0000	9.0000	9	9	9	9	0	9	9	9	00000000-0000-0000-0000-000000000000	2015-11-30 17:58:59.670	p HKD	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	1	1	0	1	NULL	NULL	NULL	NULL	NULL	10	3	1	9	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	9.0000	9.0000	A9BF9B04-D392-4868-80D1-28855CBEC44C	9	9	3	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
A1B627FD-F91A-45E9-A877-1A9647413DD2	黄金白银	黄金白银	黄金白银	10	1	2014-10-29 17:48:33.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	EA814F74-D123-4842-8BDF-AC45857D97AF	10	1	1	0	1	0	300	12	12	1	0DA665B5-9AA5-49D7-A301-048F1428CA4A	0	0	0	0	0	0	AAFF850A-5818-441A-BA2D-154E4D93A362	360	195	20.0000	9.0000	20.0000	9.0000	69.0000	10	111	9	9	0	10	9	15	00000000-0000-0000-0000-000000000000	2015-11-25 10:22:30.070	黄金白银	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	1	1	0	1	NULL	NULL	NULL	NULL	NULL	10	2	0	10	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	10.0000	10.0000	NULL	9	9	3	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
E2CF0290-32F2-4DC3-8672-203E862A58A3	d AUD2	AUDUSD	d AUD2	10	1	2015-11-13 20:15:03.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	02446B97-D96B-4992-A6E2-30B76C0CD8D8	0	1	10000	0	1	1	300	20	0	10	0DA665B5-9AA5-49D7-A301-048F1428CA4A	4	2	1	0	0	0	3184EE85-94F7-41AE-85C8-479BD30EED1F	360	251	50.0000	50.0000	20.0000	20.0000	20.0000	10	10	10	0	0	1	0	15	00000000-0000-0000-0000-000000000000	2015-12-08 11:41:13.963	d AUD2	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	1	1	0	1	NULL	NULL	NULL	NULL	NULL	10	3	0	0	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	9999.0000	9999.0000	NULL	9999	10	3	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
B2EF248D-4EEB-465C-B178-348411C79C41	d EURGBP	EURGBP	d EURGBP	10	1	2013-02-20 16:19:22.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	EA814F74-D123-4842-8BDF-AC45857D97AF	10	1	1000	0	1	0	3000	100	12	1000000	F940A509-4ED6-4A92-A6F0-CD9A60601084	0	0	0	0	0	0	AAFF850A-5818-441A-BA2D-154E4D93A362	360	251	20.0000	6.0000	20.0000	6.0000	66.0000	1000	161	6	6	0	6	6	9	00000000-0000-0000-0000-000000000000	2015-12-08 11:41:13.963	d EURGBP	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	1	1	0	1	NULL	NULL	NULL	NULL	NULL	50	0	0	6	0	04B1A894-2829-448E-8123-DDB2680B65A8	3	00000000-0000-0000-0000-000000000001	2.0000	6.0000	6.0000	62448E83-F4F2-4AE9-969B-00C53E22BB3F	6	6	0	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
F596340C-66C0-4B2F-9286-35131032B2D1	LLG	XAUUSD	LLG	10	1	2001-01-01 00:00:00.000	9999-12-31 23:59:59.000	89A33EBC-A201-40D1-BE96-1F27585BAA9D	C2D579B5-8648-4BC8-BBE0-215A7D64DFA2	10	1	10	0	1	2	60	100000000	12	23	0DA665B5-9AA5-49D7-A301-048F1428CA4A	0	0	0	0	0	3	AAFF850A-5818-441A-BA2D-154E4D93A362	360	255	20.0000	9.0000	20.0000	8.0000	8.0000	10000	9	9	9	0	9	9	9	00000000-0000-0000-0000-000000000000	2015-12-08 11:41:12.963	LLG	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	1	1	0	1	NULL	NULL	NULL	NULL	NULL	30	3	0	9	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	9.0000	9.0000	NULL	9	7	3	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
33C4C6E2-E33C-4A21-A01A-35F4EC647890	AUD	AUDUSD	AUD	10	1	2010-11-12 17:46:25.000	9999-12-31 23:59:59.000	2CBA0D4E-CA6F-4949-91D2-C2C2F426B2E2	02446B97-D96B-4992-A6E2-30B76C0CD8D8	0	1	10000	0	1	2	60	10000000	2	1	0DA665B5-9AA5-49D7-A301-048F1428CA4A	0	0	0	0	0	3	AAFF850A-5818-441A-BA2D-154E4D93A362	360	255	20.0000	11.0000	20.0000	8.0000	8.0000	10000	5	7	7	0	78	7	15	00000000-0000-0000-0000-000000000000	2015-12-08 11:41:13.963	AUD	999912	0	NULL	NULL	NULL	1	0	0	NULL	NULL	NULL	0	1	0	1	NULL	NULL	NULL	NULL	NULL	30	3	0	7	0	NULL	1	00000000-0000-0000-0000-000000000001	1.0000	8.0000	8.0000	NULL	7	7	3	2	1	0	6	NULL	NULL	2	1	5	0	0.000000000	NULL	0
