SourceCurrencyID	TargetCurrencyID	Description	RateIn	RateOut	UpdatePersonID	UpdateTime	UpdateTime2	DependingInstrumentId	Inverted
0DA665B5-9AA5-49D7-A301-048F1428CA4A	0DA665B5-9AA5-49D7-A301-048F1428CA4A	US$/US$	1	1	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2009-01-01 00:00:00.000	2009-01-01 00:00:00.000	NULL	0
0DA665B5-9AA5-49D7-A301-048F1428CA4A	ADF04C39-3837-4858-8849-8C4ADC53D250	US$/HK$	0.476190476190476	0.833333333333333	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-07-04 11:03:31.240	2014-07-04 11:03:31.240	NULL	0
0DA665B5-9AA5-49D7-A301-048F1428CA4A	859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	US$/EUR	0.153846153846154	0.178571428571429	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2013-03-18 14:00:14.233	2013-03-18 14:00:14.233	NULL	0
0DA665B5-9AA5-49D7-A301-048F1428CA4A	F940A509-4ED6-4A92-A6F0-CD9A60601084	US$/RMB	1	1	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-11-06 14:18:58.807	2014-11-06 14:18:58.807	NULL	0
ADF04C39-3837-4858-8849-8C4ADC53D250	0DA665B5-9AA5-49D7-A301-048F1428CA4A	HK$/US$	1.2	2.1	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-07-04 11:03:31.240	2014-07-04 11:03:31.240	NULL	0
ADF04C39-3837-4858-8849-8C4ADC53D250	ADF04C39-3837-4858-8849-8C4ADC53D250	HK$/HK$	1	1	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2010-10-13 00:37:13.520	2010-10-13 00:37:13.520	NULL	0
ADF04C39-3837-4858-8849-8C4ADC53D250	859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	HK$/EUR	0.766283524904215	0.829187396351575	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2013-03-18 14:00:14.060	2013-03-18 14:00:14.060	NULL	0
ADF04C39-3837-4858-8849-8C4ADC53D250	F940A509-4ED6-4A92-A6F0-CD9A60601084	HK$/RMB	1.61290322580645	1.67290322580645	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-07-04 11:04:07.850	2014-07-04 11:04:07.850	NULL	0
859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	0DA665B5-9AA5-49D7-A301-048F1428CA4A	EUR/US$	5.6	6.5	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2013-03-18 14:00:14.233	2013-03-18 14:00:14.233	NULL	0
859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	ADF04C39-3837-4858-8849-8C4ADC53D250	EUR/HK$	1.206	1.305	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2013-03-18 14:00:14.060	2013-03-18 14:00:14.060	NULL	0
859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	EUR/EUR	1	1	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2013-03-18 13:45:40.347	2013-03-18 13:45:40.347	NULL	0
859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	F940A509-4ED6-4A92-A6F0-CD9A60601084	EUR/RMB	4.5	20	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-11-06 11:52:58.480	2014-11-06 11:52:58.480	NULL	0
F940A509-4ED6-4A92-A6F0-CD9A60601084	0DA665B5-9AA5-49D7-A301-048F1428CA4A	RMB/US$	1	1	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-11-06 14:18:58.807	2014-11-06 14:18:58.807	NULL	0
F940A509-4ED6-4A92-A6F0-CD9A60601084	ADF04C39-3837-4858-8849-8C4ADC53D250	RMB/HK$	0.597763208638643	0.62	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-07-04 11:04:07.850	2014-07-04 11:04:07.850	NULL	0
F940A509-4ED6-4A92-A6F0-CD9A60601084	859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	RMB/EUR	0.05	0.222222222222222	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-11-06 11:52:58.480	2014-11-06 11:52:58.480	NULL	0
F940A509-4ED6-4A92-A6F0-CD9A60601084	F940A509-4ED6-4A92-A6F0-CD9A60601084	RMB/RMB	1	1	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2011-09-15 17:15:27.227	2011-09-15 17:15:27.227	NULL	0
