TradePolicyID	InstrumentID	IsTradeActive	ContractSize	CommissionOpen	CommissionCloseD	CommissionCloseO	LevyOpen	LevyClose	MarginD	MarginO	MarginLockedD	MarginLockedO	InterestCut	InterestRateID	QuotationMask	UpdatePersonID	UpdateTime	AlertLevel1	AlertLevel2	AlertLevel3	SendLotMultipleForJFX	AlertLevel1Lock	AlertLevel2Lock	AlertLevel3Lock	NecessaryRound	MinOpen	OpenMultiplier	MinClose	CloseMultiplier	Option	IsAcceptNewStop	IsAcceptNewMOOMOC	IsAcceptNewLimit	DQMaxMove	PairRelationFactor	GoodTillDate	GoodTillMonthDayOrder	GoodTillMonthSession	GoodTillMonthGTM	GoodTillMonthGTF	DefaultLot	MultipleCloseAllowed	MaxOpenDay	AllowIfDone	CanPlaceMatchOrder	MinCommissionOpen	MinCommissionClose	InstrumentMappingCode	AlertLevel4	AlertLevel4Lock	OIPercent	ChangePlacedOrderAllowed	MarginSpot	MarginSpotSpread	RiskCredit	AccountMaxOpenLot	AllowNewLimitStopSameTime	AllowNewOCO	VolumeNecessaryId	BuyInterestValueDay	SellInterestValueDay	PhysicalValueMatureDay	InstalmentPolicyId	AllowedPhysicalTradeSides	DiscountOfOdd	ValueDiscountAsMargin	PhysicalMinDeliveryQuantity	PhysicalDeliveryIncremental	DeliveryChargeID	InstalmentPledgeDiscount	ShortSellDownPayment	PartPaidPhysicalNecessary	PaymentForm	DeliveryPointGroupId	PrepaymentInterestRateID	PhysicalPaymentDiscountID	BOPolicyID	OtherFeeOpen	OtherFeeClose
208A7CCB-24EC-45CE-B7B7-05C3C920D261	2E42C798-97E7-4702-AFBA-0E6ABA0575D6	1	10.0000	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11	13FEC3EF-B6F4-4850-937B-6D19DD678DA4	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-01-03 09:13:55.827	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	4	1.0000	1.0000	1.0000	1.0000	1	1	1	1	0	1.00	1	1	0	0	0	1.0000	0	99999	0	0	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	1	0	NULL	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	33C4C6E2-E33C-4A21-A01A-35F4EC647890	1	100.0000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11	E31C04B8-C9CE-4DD7-8E96-C3ED1BED652C	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-01-03 09:13:53.630	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	4	0.0100	0.0100	0.0100	0.0100	1	1	1	1	0	1.00	1	1	1	0	0	0.5000	0	99999	1	0	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	1	0	NULL	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	2A346B2A-BD3D-4950-8CE0-384D5C16A73E	1	100.0000	1.00	0.00	0.00	0.00	0.00	8000.00	8000.00	800.00	800.00	11	E31C04B8-C9CE-4DD7-8E96-C3ED1BED652C	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-08-11 16:53:53.850	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	8	0.1000	0.1000	0.1000	0.1000	1	1	0	1	1000	1.00	0	1	0	1	1	0.1000	0	99999	1	0	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	0	0	9C226E49-B387-435D-B11C-6F25B9DA6689	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	12FF1B0B-CE82-463A-BDBA-39E3068957DE	1	100.0000	1.00	0.00	0.00	0.00	0.00	12000.00	12000.00	1200.00	1200.00	11	CFF07473-D6D5-40FD-A376-8BA5A2C9AABA	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2013-10-08 14:49:18.670	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	8	0.1000	0.1000	0.1000	0.1000	1	1	0	1	0	1.00	1	1	0	0	1	0.1000	0	99999	1	1	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	0	0	NULL	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	2C34B5E8-97D8-4C61-8C42-445AB8D94A6B	1	20.0000	1.00	0.00	0.00	0.00	0.00	12000.00	12000.00	1200.00	1200.00	11	13FEC3EF-B6F4-4850-937B-6D19DD678DA4	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-01-03 09:42:33.907	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	8	0.1000	0.1000	0.1000	0.1000	1	1	0	1	0	1.00	1	1	0	0	1	0.1000	0	99999	0	0	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	0	0	9C226E49-B387-435D-B11C-6F25B9DA6689	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	2EAB5B94-1A8E-4604-AC38-6F4453A860A8	1	50.0000	1.00	0.00	0.00	0.00	0.00	8000.00	8000.00	800.00	800.00	11	26E76BE6-724D-4482-9420-A2B77EEC9E19	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-01-03 09:42:34.157	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	8	0.1000	0.1000	0.1000	0.1000	1	0	0	1	0	1.00	1	1	1	0	1	0.1000	0	99999	0	1	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	0	0	9C226E49-B387-435D-B11C-6F25B9DA6689	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	C2EF11CC-E976-4A68-9D9E-8B7DDAFA89F3	1	1.0000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11	F60EB419-FDE3-4543-B844-85B91EA60FA5	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-01-03 09:42:34.407	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	4	0.0100	0.0100	0.0100	0.0100	1	1	1	1	0	1.00	0	1	0	0	1	0.5000	0	99999	0	0	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	1	0	9C226E49-B387-435D-B11C-6F25B9DA6689	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	397B253D-9985-4C7D-AD9C-C0A65C3E94E5	1	50.0000	1.00	0.00	0.00	0.00	0.00	8000.00	8000.00	800.00	800.00	11	C981279E-D671-4D96-8790-DC50F2045730	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-01-03 09:42:34.047	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	8	0.1000	0.1000	0.1000	0.1000	1	1	0	1	0	1.00	1	1	1	1	1	0.1000	0	99999	1	0	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	0	0	9C226E49-B387-435D-B11C-6F25B9DA6689	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	6A8FFF55-7664-4471-9D1C-D647BF251E05	1	10.0000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11	E31C04B8-C9CE-4DD7-8E96-C3ED1BED652C	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2013-10-08 14:49:18.593	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	4	1.0000	1.0000	1.0000	1.0000	1	1	1	1	0	1.00	1	1	1	0	0	1.0000	0	99999	0	1	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	1	0	NULL	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
208A7CCB-24EC-45CE-B7B7-05C3C920D261	BE4D1CD0-5F1D-44EA-8B69-D74F1540B725	1	6250.0000	1.00	0.00	0.00	0.00	0.00	8000.00	8000.00	800.00	800.00	11	F60EB419-FDE3-4543-B844-85B91EA60FA5	0	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	2014-01-02 15:12:46.333	-1.00	-1.00	-1.00	1.0000	-1.00	-1.00	-1.00	8	0.1000	0.1000	0.1000	0.1000	1	0	0	1	0	1.00	1	1	1	1	1	0.1000	0	99999	1	1	0.00	0.00	NULL	-1.00	-1.00	1.00	0	0.00	0.00	0.00	NULL	0	0	NULL	0	0	0	NULL	0	1.00	1.00	0.1000	0.1000	NULL	1.00	0.00	0.00	1	NULL	NULL	NULL	NULL	0.00	0.00
