ID	Code	Name	Decimals	InstrumentDecimals	Alias	UpdateTime	UpdatePersonID	UInterestIn	UInterestOut	InterestPolicyID	MinDeposit	RateLimitPercent
0DA665B5-9AA5-49D7-A301-048F1428CA4A	USD	US$	2	2	USD	2013-03-18 13:56:32.367	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	AAFF850A-5818-441A-BA2D-154E4D93A362	NULL	100.00
E337F44F-4FCA-4325-B6A3-1F67F37D80DD	CHF	CHF	0	4	NULL	2014-03-25 10:34:51.140	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	AAFF850A-5818-441A-BA2D-154E4D93A362	0.00	100.00
2FA2B3E7-B642-4932-A7DB-29F51F8345C6	LLG	LLG	2	4	LLG	2014-04-17 14:17:40.957	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	NULL	0.00	100.00
8BE39784-CB3B-4E79-8802-4EE7AD895B6D	GBP	GBP	0	4	GBP	2014-03-25 11:34:23.120	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	AAFF850A-5818-441A-BA2D-154E4D93A362	0.00	100.00
ADF04C39-3837-4858-8849-8C4ADC53D250	HKD	HK$	2	2	NULL	2010-11-11 12:59:35.280	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	AAFF850A-5818-441A-BA2D-154E4D93A362	NULL	100.00
BC5AA594-73F3-49C1-B1B5-8EA0271C21DE	XAG	XAG	1	4	XAG	2014-03-25 11:34:23.243	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	AAFF850A-5818-441A-BA2D-154E4D93A362	0.00	100.00
0C7C24AF-EA51-4CD0-BEFA-A38BA1358427	AUD	AUD	0	4	AUD	2014-03-25 11:34:23.230	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	AAFF850A-5818-441A-BA2D-154E4D93A362	0.00	100.00
859F7CD0-3C8D-4FF2-84E8-AEF2267DBE0D	EUR	EUR	3	4	NULL	2013-10-16 10:41:41.317	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	AAFF850A-5818-441A-BA2D-154E4D93A362	0.00	100.00
F940A509-4ED6-4A92-A6F0-CD9A60601084	RMB	RMB	1	2	NULL	2014-03-24 14:45:48.470	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	AAFF850A-5818-441A-BA2D-154E4D93A362	0.00	100.00
952307F4-D726-48EF-89CB-D7AE831AEBB8	XAU	XAU	2	4	XAU	2014-04-17 13:59:57.810	525BBBC6-0E94-4991-BAC1-0CF1D31BBC17	0.00	0.00	NULL	0.00	100.00
